company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
100% TURFRECYCLERS SRL,Hall B; Stand C12-D13,,info@turfrecyclers.it,+393511411766,https://turfrecyclers.it,"Via CAV. Pietro Radici, 19 24026 Cazzano Sant'Andrea BG - IT",,
Acquantis,Hall B; Stand B12-C15,,maurizio.gorato@coindpiscine.it,+3902 22226791,,"Corso di Porta Vittoria, 18 20122 Milano MI - IT",,
ADISPORT,Hall A; Stand C26,"ADIPORTABLE: AdiPortable è un sistema smontabile certificato FIBA, dotato di un aggancio brevettato ed innovativo. Sviluppato, ingegnerizzato e prodotto interamente all’interno dei nostri impianti produttivi, garantisce infinite possibilità di personalizzazione. Rappresenta la soluzione ideale nelle strutture dove l’attività sportiva è alternata ad eventi non sportivi: Vantaggi: Caratteristiche: ADITHERMO: AdiThermo è studiato e certificato appositamente per gli impianti sportivi dotati di riscaldamento a pavimento, garantisce prestazioni agonistiche di primo livello con una resistenza termica contenutissima. Lo speciale materassino unito ad un piano ripartitore specifico ad aumentare l’irradiamento del calore, fanno di questo sistema il leader nel mercato delle strutture dotate di riscaldamento a pavimento. Consigliato per: Caratteristiche: ADIBASIC 14: AdiBasic 14 è una garanzia nel panorama mondiale dei parquet sportivi. Una pavimentazione di primo livello con risposte elastiche importantissime ed un assorbimento degli urti da primato! La rapidità di installazione e le ottime risposte elastiche, unite all’assorbimento degli urti, lo rendono il più richiesto dalle società sportive agonistiche. Consigliato per: Caratteristiche: ADIBASIC 22: AdiBasic 22 rappresenta la soluzione ideale in tutti quegli impianti sportivi caratterizzati da un maggior uso. Grazie all’elasticità della sottostruttura e allo strato nobile di assoluto spessore non teme l’usura. Particolarmente indicato in tutte quelle strutture dove ci sono tribune telescopiche e impianti di canestri amovibili. Consigliato per: Caratteristiche: ADIPREMIUM: AdiPremium è un sistema sportivo che grazie al doppio piano ripartitore e ad uno speciale tampone elastico in gomma appositamente studiato e progettato, conferisce al pavimento la massima elasticità, unita ad un’elevata areazione in caso di palestre con problemi di reflusso di umidità dal basso. Consigliato per: Caratteristiche: ADIFLEX EVOLUTION: AdiFlex Evolution è un sistema sportivo innovativo che rappresenta l’unione tra l’elasticità, data dai listelli con tampone elastico in gomma, e l’alta resistenza ai carichi del piano ripartitore uniforme e continuo. La combinazione di questi elementi, unita al legno massello, dona a questo sistema elevatissime resistenze meccaniche. Consigliato per: Caratteristiche: ADIFLEX 4.5: AdiFlex 4.5 è un sistema sportivo che unisce eccellenti risposte tecniche ad uno spessore totale di soli 45 mm. Particolarmente indicato anche per gli impianti dotati di riscaldamento a pavimento, offre un’ottima elasticità ed un elevato irradiamento termico. Consigliato per: Caratteristiche: ADIFLEX: AdiFlex offre un’ottima elasticità ed un elevato irradiamento termico. Grazie allo speciale materassino elastico e al piano ripartitore ad alta conduttibilità termica, garantisce un irradiamento del calore uniforme. Consigliato per: Caratteristiche: ADIFLEX 2: AdiFlex 2 è un sistema sportivo che offre un’ottima elasticità e, grazie all’elevato spessore totale che lo contraddistingue, è in grado di garantire un cospicuo assorbimento degli urti. Il legno massello di finitura permette un uso estremo della pavimentazione ed una lunga durata nel tempo, grazie alla possibilità di molteplici lamature e riverniciature. Consigliato per: Caratteristiche:",offerte@adisportfloor.it,+390173 975664,https://adisportfloor.it,"Via San Martino Nisocco, 2 12046 Montà CN - IT",,
AEC Illuminazione,Hall A; Stand E41,,alessia.cini@aecilluminazione.it,+39305 75421575,https://aecilluminazione.it,"Via Righi, 4 Z.I. 52010 Castelnuovo AR - IT",,
AERAULIQA SRL,Hall B; Stand D26,,campigotto.anna@aerauliqa.it,+39030 674681,https://aerauliqa.it,"Via Mario Calderara, 39 25018 Montichiari BS - IT",,
ALLIANCE ASE SRL,Hall A; Stand A7/A9,,urska@aliansa.eu,+39351 3405726,,"Via Malta, 6 3417 Gorizia GO - IT",,
ALPHATEX,Hall B; Stand B15,,m.michot@alphatex.eu,+337 48889783,https://alphatex.eu,"869, Rue Maurice Allais 76 760 Bolbec - FR",,
ANGELEYE SRL,Hall B; Stand C19,"AngelEye LifeGuard: Una supervisione efficace dell’ambiente acquatico è fondamentale per la sicurezza dei bagnanti. AngelEye LifeGuard è il sistema di rilevamento degli annegamenti sviluppato per rispondere a questa esigenza attraverso il monitoraggio continuo della vasca mediante videocamere subacquee brevettate, videocamere aeree o una combinazione di esse. Conforme alla norma ISO 20380 , il sistema individua tempestivamente situazioni di annegamento potenzialmente critiche e, in caso di allarme, trasmette immediatamente posizione e immagini dell'evento ai dispositivi di notifica in dotazione al personale di salvataggio, consentendo un intervento rapido e mirato. AngelEye SafeGuard: AngelEye SafeGuard è la soluzione sviluppata per ottimizzare la gestione degli impianti natatori e degli spazi acquatici. Attraverso algoritmi di analisi video, fornisce informazioni in tempo reale sul numero e sulla posizione dei bagnanti presenti in vasca, oltre a dati su occupazione, densità dei bagnanti , e utilizzo delle aree . Le informazioni vengono rappresentate attraverso grafici, tabelle e mappe di calore che evidenziano distribuzione dei bagnanti, picchi di affluenza e modalità di utilizzo degli spazi. AngelEye SafeGuard aiuta gestori e responsabili dell'impianto a migliorare efficienza operativa , sicurezza e controllo della struttura, favorendo decisioni più informate. AngelEye for Trainers: AngelEye for Trainers è la soluzione sviluppata per supportare allenatori e atleti nell'analisi delle prestazioni in acqua attraverso riprese video subacquee. Grazie alle videocamere AngelEye e alla visualizzazione da diverse angolazioni, consente di analizzare con precisione tecnica di nuotata, postura e movimenti durante gli allenamenti. La soluzione include inoltre strumenti per l'analisi del movimento, come la misurazione di angoli e segmenti corporei e la visualizzazione al rallentatore . Le sessioni possono essere registrate, archiviate e riviste in qualsiasi momento, permettendo di confrontare prestazioni nel tempo e documentare i progressi degli atleti. AngelEye for Trainers offre uno strumento pratico e immediato per migliorare l'analisi tecnica, supportare l'attività degli allenatori e valorizzare il percorso di crescita sportiva.",riccardo.casadei@angeleye.it,+390471 726038,https://angeleye.it,"Via Sant'Osvaldo, 1B 39100 Bolzano BZ - IT",,
APEN GROUP SPA,Hall A; Stand E14,"AquaPump Hybrid: Sistema monoblocco integrato caldaia e pompa di calore. Sistema unico con regolazione integrata Smart control che permette di ottimizzare in modo intelligente la produzione di energia in funzione delle temperature esterne e del fabbisogno istantaneo dell’utenza. Progettato per la produzione di acqua calda e fredda attraverso l’utilizzo di energia rinnovabile a servizio di ambienti industriali e terziari, questo sistema ibrido integra l’alta efficienza della tecnologia a condensazione (caldaia da 34 kW con bruciatore premix modulante in classe di emissione NOx n. 6 stelle) con le prestazioni di una pompa di calore aria-acqua di ultima generazione con tecnologia inverter da 14 kW in riscaldamento e 12 kW in raffrescamento. Caldaia a condensazione con Aerotermi: Ideali dove la normativa vieta l’installazione di sistemi di riscaldamento a scambio diretto all’interno degli ambienti. AquaKond AKN è un sistema composto da caldaia a condensazione per esterno, con bruciatore a basso NOx, disponibile nelle versioni da 32 kW, 34 kW, 50 kW, 70 kW e 100 kW, abbinabile ad aerotermi interni. Classe A Elevati rendimenti di combustione fino al 108% garantiscono un risparmio di combustibile notevole rispetto ai sistemi tradizionali non a condensazione. Classe A di efficienza energetica (secondo Reg. 811/2013/CE). Bruciatore premiscelato in Classe NOx 6 secondo EN15502-1. Dotazioni INAIL di Serie Ogni caldaia AKN050, AKN70 e AKN100, è dotata di serie dei dispositivi di sicurezza, di protezione e controllo secondo la normativa INAIL (ex I.S.P.E.S.L.). Destratificatori QUEEN: Progettati per ridurre la stratificazione dell’aria e omogeneizzare la temperatura degli ambienti. Il concetto di destratificazione alla base di questo prodotto è semplice: l’aria calda che tende a rimanere nelle zone alte degli ambienti riscaldati viene aspirata dal ventilatore assiale montato sul destratificatore e spinta verso il basso nelle zone in cui vi è presenza di persone. I destratificatori QUEEN sono caratterizzati da: Generatori pensili Kondensa: KONDENSA, generatori pensili a condensazione modulanti, a basse emissioni di NOx, con rendimenti fino al 108%. I soffiatori ad aria calda Kondensa serie LK e LKN sono caratterizzati: NUOVI GENERATORI PENSILI A CONDENSAZIONE SERIE LKN Generatori d’Aria Calda a basamento PKR: Generatore d’aria calda a gas a basamento ad altissimo rendimento da abbinare a bruciatori solo a gas. Ideali per il riscaldamento di ambienti di medie e grandi dimensioni. Perché scegliere la serie PKR? Apen Group ha riprogettato la nuova serie di generatori a basamento PKR sia per aumentare le prestazioni tecniche e quindi la sicurezza, i rendimenti, la qualità, sia per soddisfare le sempre più frequenti richieste di soluzioni personalizzate e di adattabilità all’ambiente. Ideali per il riscaldamento di ambienti di medie e grandi dimensioni. Generatori d’aria calda PK-SPORT: Apen Group ha riprogettato la nuova serie di generatori d’aria calda a pavimento PK-P00 appositamente per : Le prestazioni tecniche, la sicurezza, i rendimenti, la qualità, per soddisfare le sempre più frequenti richieste di soluzioni personalizzate e di adattabilità all’ambiente sono solo alcune delle caratteristiche che caratterizzano i nostri Soffiatori Aria Calda PK-P00. PER LE STRUTTURE PRESSOSTATICHE Il controllo della pressione all’interno del pallone, nelle unità di riscaldamento aria “PK-P” per strutture pressostatiche, non costituisce un elemento di sicurezza. Ideali per il riscaldamento di ambienti di medie e grandi dimensioni Unità modulari di riscaldamento AH: L’ Unità modulare di riscaldamento AH , a condensazione, è stata progettata per il riscaldamento dell’aria. L’Unità di riscaldamento serie AH è: Unità Monoblocco AH Sport: Unità di Riscaldamento studiati appositamente per ambienti sportivi Apen Group ha progettato la nuova serie di Unità di Riscaldamento AH-SPORT appositamente per : L’aspetto estetico è particolarmente curato e i profili di alluminio posti sui pannelli armonizzano la rigidità delle figure geometriche. Il cuore delle macchina è il modulo scambiatore PCH , comandato dalla scheda di controllo funge da regola e gestisce la segnalazione dei fault, l’accensione, lo spegnimento e la modulazione del bruciatore premiscelato. Il modulo PCH ha la particolarità di avere un funzionamento di tipo modulante, cioè la potenza termica erogata e, di conseguenza, la portata termica (consumo di combustibile), variano in funzione della richiesta di calore. Al diminuire della richiesta di calore dall’ambiente il generatore di calore consuma meno gas aumentando il proprio rendimento fino al 105% (rendimento su Hi). La movimentazione dell’aria è gestita da un termoventilatore plug-fun ad alta efficienza alimentato in corrente continua con controllo della frequenza integrato. La portata dell’aria è variabile ed è impostabile tramite un potenziometro posizionato all’interno del vano del modulo generatore d’aria calda. PER LE STRUTTURE PRESSOSTATICHE Il controllo della pressione all’interno del pallone, nelle unità di riscaldamento aria “AH-P” per strutture pressostatiche, non costituisce un elemento di sicurezza. Scambiatore di calore PCH: Il Modulo di riscaldamento PCH , Scambiatore di calore appositamente progettato per essere inserito nelle unita di trattamento aria e nei roof-top, con la tecnologia della premiscelazione e della modulazione, permette di raggiungere la condensazione con rendimenti fino al 109% calcolati in base al potere calorifico inferiore (Hi).",commerciale@apengroup.it,02959693.1,https://apengroup.it,"Via Isonzo, 1 20042 Pessano con Bornago MI - IT",,
ARREDI 3N DEI FRATELLI NESPOLI SRL,Hall A; Stand D16-E21,,lucia@arredi3n.com,+390362 50128,https://arredi3n.com,"Via Filzi, 12 20833 Giussano MB - IT",,
