exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,event_location,profile_url,event_source
"""AWE POLAND"" SP. Z O.O.",awe.com.pl,,,INWALIDÓW 3 85-749 BYDGOSZCZ Poland,Poland,Hala E / e4.36,"Zajmujemy się produkcją wyposażenia ze stali nierdzewnej dla zakładów przetwórstwa spożywczego oraz supermarketów już od 30 lat. Nasze wyroby eksportowane są na wszystkie kontynenty do około 50 krajów świata. Nieustannie wprowadzamy na rynek nowe, własne produkty, a także modernizujemy wcześniejsze rozwiązania, nawiązując do obowiązujących trendów i oczekiwań klientów. Sprawdzony i wysoko wykwalifikowany personel, nowoczesny park maszynowy oraz technologie informatyczne pozwalają nam na zdobywanie coraz szerszego grona odbiorców. Naszym klientom oferujemy fachowe doradztwo. Oprócz standardowych wyrobów realizujemy zamówienia wg indywidualnych życzeń i pomysłów. Wszystkie produkowane przez nas wyroby posiadają atest PZH, wymagane badania i certyfikaty CE. Wysoka jakość wykonania, terminowość oraz zadowolenie klientów to nasze priorytety.",,BYDGOSZCZ,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""BUSCH POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",buschvacuum.com,+48 789 091 760,ewa.modrzejewska@busch.com.pl,Dedala 7 87-853 Nowa Wieś Poland,Poland,Hala E / E3.31,Products: Pompa próżniowa RA 0305 D,https://www.linkedin.com/company/busch-vacuum-solutions/?viewAsMember=true,Nowa Wieś,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""DADAUX POLSKA"" SP. Z O.O.",dadaux.com.pl,,,FABRYCZNA 49A 98-300 WIELUŃ Poland,Poland,Hala E / E4.28,"Posiadana wiedza oraz doświadczenie pozwalają zaproponować Państwu szeroką gamę maszyn i urządzeń ze stali nierdzewnej. W trosce o naszych klientów i ich oczekiwania nasi inżynierowie każdego dnia pracują aby rozwinąć naszą ofertę oraz podnosić ich jakość, wydajność i wytrzymałość. Wysoki poziom techniczny pozwolił firmie zająć pozycję lidera na rynku europejskim oraz zdobyć bardzo dobrą opinię i zadowolenie użytkowników. Jesteśmy jedynym producentem francuskim oferującym tak szeroki wachlarz modeli, odpowiadających Państwa oczekiwaniom. Zakres naszej oferty, nie mający równych sobie na poziomie europejskim, pozwolił firmie z powodzeniem wejść na rynek międzynarodowy.",,WIELUŃ,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""LEVEN GROUP"" SP. Z O.O.",levengroup.pl,,,LOGISTYCZNA 23 62-080 SADY Poland,Poland,Hala E / E4.24,"Jesteśmy liderami branży oferującej rozwiązania dla profesjonalnej gastronomii, dbając przy tym o środowisko naturalne i ekologię. Przez ponad 18 lat działalności dostarczyliśmy nasze produkty do blisko 2 500 obiektów w całej Polsce. Oferowane przez nas rozwiązania wspierają kucharzy w hotelach, restauracjach, zakładach przemysłowych, portach lotniczych, obiektach cateringowych, obiektach sportowych czy szkołach. Skąd zaufanie, którym nas obdarzono? Zarówno w biznesie, jak i w życiu przyświecają nam konkretne wartości. Wynikająca z nich praca u podstaw, systematyczny rozwój kompetencji, innowacje i profesjonalizm w działaniu, a także dbałość o środowisko – ugruntowały naszą pozycję w branży. Cały czas pracujemy intensywnie – nadal chcemy więcej.",,SADY,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""MOESCHLE POLSKA"" SP. Z O.O.",moeschle.pl,539267070,aleksander.sikorski@moeschle.pl,PRZEMYSŁOWA 9 36-065 DYNÓW Poland,Poland,Hala F / F4.20,"Przedsiębiorstwo Moeschle jest niekwestionowanym liderem w dziedzinie produkcji zbiorników, linii produkcyjnych, specjalistycznej aparatury i wyposażenia ze stali szlachetnej, dla branży spożywczej, chemicznej, farmaceutycznej i wielu innych. Dzięki naszemu doświadczeniu, profesjonalizmowi i innowacyjności możemy zapewnić naszym Klientom najwyższą jakość produktów. Przez 46 lat swojej historii marka Moeschle stała się symbolem niezawodności i jakości co sprawiło że, jest rozpoznawana nie tylko w Europie a również w Azji, Arabii Saudyjskiej, obu Amerykach i na Środkowym Wschodzie.",,DYNÓW,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""NOMA"" Sp. z o.o",noma.tech,+48 46 814 55 00,info@noma.tech,TOMASZOWSKA 90 96-200 PODLAS Poland,Poland,Hala E / E4.23,"Firma NOMA Nowicki Machinery projektuje i produkuje specjalistyczne maszyny oraz automatyczne linie technologiczne dla przemysłu spożywczego — obejmujące procesy takie jak marynowanie, nastrzykiwanie, mieszanie, rozdrabnianie i obróbka cieplna. Ponadto firma oferuje systemy myjące (marka Cleanetic) oraz kompleksowe wsparcie posprzedażowe, w tym serwis i dostawę części zamiennych, aby zagwarantować ciągłość i niezawodność produkcji.",,PODLAS,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""NOMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,Tomaszowska 90 96-200 Podlas Poland,Poland,Hala E / E4.19,,,Podlas,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""SPOMASZ"" BEŁŻYCE S.A.",spomasz-belzyce.com.pl,,,FABRYCZNA 2 24-200 BEŁŻYCE Poland,Poland,Hala E / E1.28A,"Fabryka ""SPOMASZ"" w Bełżycach specjalizuje się w produkcji doskonałej jakości maszyn i urządzeń dla przemysłu spożywczego oraz ciepłownictwa. Od ponad 50 lat firma zapewnia kompleksową realizację zleceń, na którą składają się: projektowanie, produkcja maszyn, urządzeń i całych linii produkcyjnych, montaż oraz serwis. Posiadamy własne biuro konstrukcyjne pracujące w środowisku Auto CAD. Wykonujemy również zlecenia nietypowe, w pełni dostosowane do wymagań klienta. Spomasz specjalizuje się w projektowaniu, wykonywaniu, kompletacji, montażu i serwisie maszyn i urządzeń tworzących: kompletne linie technologiczne i pojedyncze urządzenia zakładów przemysłu spożywczego: mleczarń, wytwórni lodów, ketchupu, majonezów, soków, win, czekolady, ciastek i karmy dla zwierząt; systemy wymiany ciepła dla: domów jednorodzinnych, budownictwa wielorodzinnego i przemysłowego. Na zamówienie wykonujemy także konstrukcje dla każdej branży jako podwykonawca.",,BEŁŻYCE,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
"""UNIROB"" MARCIN I PAWEŁ KUBICCY SPÓŁKA JAWNA",,,,AL. WOJSKA POLSKIEGO 31/20 01-515 WARSZAWA Poland,Poland,Hala F / F4.10,,,WARSZAWA,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
'ELESA + GANTER POLSKA' SP. Z O.O.,elesa-ganter.pl,,,SŁONECZNA 42A 05-500 STARA IWICZNA Poland,Poland,Hala E / E3.44,"Elesa+Ganter jest producentem standardowych elementów maszyn takich jak: uchwyty funkcyjne, elektroniczne wskaźniki położenia, rękojeści nastawne, koła, dociskacze szybkomocujące, pokrętła, zawiasy, stopy, zapięcia, trzpienie, zatrzaski, uchwyty, korby, dźwignie, wskaźniki położenia, zamki, elementy hydrauliki, łączniki, magnesy oraz wiele innych.",,STARA IWICZNA,"Ptak Warsaw Expo, Al. Katowicka 62, 05-830 Nadarzyn, Poland",,https://foodtechexpo.pl/katalog-wystawcow/
