company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Arena by PTC,,"Arena by PTC helps robotics companies transform innovative ideas into market-ready products faster. Our cloud-native Product Lifecycle Management (PLM) platform connects engineering, operations, quality, suppliers, and manufacturing partners in a single system. As robotics products become more complex, Arena enables start-ups to manage product data, control changes, collaborate with global supply chains, and scale efficiently from prototype through production while maintaining quality and reducing time to market See how robotics companies use Arena to manage product data, engineering changes, supplier collaboration, and manufacturing readiness in a single cloud platform, helping teams scale efficiently from prototype to production without losing control of critical product information.",lsimms@ptc.com,,https://arenasolutions.com,,Zurich,
ASENSING,,,zhanghaizhou@asensing.com,020-38036761,https://asensing.com,,Zurich,
Balance Drive AG,,,info@balance-drive.ch,,,,Zurich,
Bauser,,,daniel.aicher@bauser.de,+49 7426 933-0,https://bauser.de,,Zurich,
"Beijing NOKOV Science & Technology Co.,Ltd.",,,betty.guo@nokov.cn,+861064922321,https://en.nokov.com,,Zurich,
Bota Systems,,,mwermelinger@botasys.com,+41 43 883 34 57,https://botasys.com,,Zurich,
coprod,,,loic.delineau@coprod.ch,,https://coprod.co,,Zurich,
CRATER,,"CRATER – ETH Zürich Rover is a student-built autonomous rover and exploration drone platform designed for Mars-like environments. Developed by ETH Zürich students across multiple engineering disciplines, CRATER combines robotics, autonomous navigation, and scientific exploration capabilities to address challenges such as terrain mapping, sample collection, and robotic manipulation. The project represents the next generation of student-led space robotics, advancing the development of autonomous systems for future terrestrial and planetary missions. CRATER participated in the renewed European Rover Challenge 2026 in Krakow, Poland.",asheridan@ethz.ch,,,,Zurich,
Deep Safety,,,matthias@deepsafety.ai,,https://deepsafety.ai,,Zurich,
"Disney Research Imagineering, Zurich",,,robotics@disneyresearch.com,,https://disneyresearch.com,,Zurich,
Dobot Europe GmbH,,,siqi.yuan@dobot-global.com,,https://dobot-robots.com,,Zurich,
Duatic,,"Founded 2024 in Zurich, Duatic is pioneering human-scale robotics. Our cutting-edge actuators and lightweight robotic arm combine superior power, compact design, and advanced sensing to outperform conventional solutions. Developed from ETH Zurich research, our technology bridges the gap between cutting-edge science and real-world robotics. By merging state-of-the-art AI with high-performance hardware, we redefine automation and human-robot collaboration.",info@duatic.com,,https://duatic.com,,Zurich,
Déploya,,"Façade installation in construction is highly manual and dependent on scaffolding systems. This leads to safety risks, long installation times, and frequent human errors. Our solution is a rapidly deployable vertical grid that enables robotic tools to operate in parallel on façades of buildings.",founders@deploya.ch,,https://deploya.ch,,Zurich,
EPFL LASA,,"LASA develops method to enable humans to teach robots to perform skills with the level of dexterity displayed by humans in similar tasks. Our robots move seamlessly with smooth motions. They adapt on-the-fly to the presence of obstacles and sudden perturbations, mimicking humans’ immediate response when facing unexpected and dangerous situations.",isabelle.derivaz-rabii@epfl.ch,+41216933000,https://epfl.ch,,Zurich,
EPFL RRL,,"At the Reconfigurable Robotics Lab we focus on the design, actuation, fabrication, and control of unique robotic systems. The research in our lab is committed to inventing interactive robotic systems with novel fabrication techniques and integration processes that push the limits of mechanical properties. These efforts enable us to create soft, reconfigurable, and interactive robots that are highly conscious of the environment and have extensive applications in wearable technology, medical/rehabilitation systems, and personal robots. Reconfigurable Robogami modules for human augmentation Origami-inspired, lightweight modules configure to wearable robotic arms that adapt seamlessly and safely to various environments and tasks. Immersive Multi-modal Full-Body Feedback for Tangible Experiences Origami-inspired Dynamic Experience Platform that delivers whole-body feedback by translating audiovisual content into motion, and recreating real-world kinetic experience, making digital content immersive and tangible. Self-Assembling Modular Origami Robots A swarm of identical triangular origami modules that locate each other, assemble themselves into a requested shape with no central controller, and accept plug-in capability cores, so one set of hardware becomes whatever robot the mission needs. Surface-Based Manipulation A team of reconfigurable modular robots, each ending in a simple flat plate, moves, flips, and reorients objects across their surfaces—manipulating without ever grasping. Digits: Reconfigurable Haptic Feedback Digits is a reconfigurable haptic interface composed of modular pneumatic actuators that can be arranged in different configurations to render multimodal haptic feedback with precise pressure control. Viscous Airflow Reconfiguration System Predictive fluidic-network framework that transforms a small number of shared pneumatic inputs into dynamically reprogrammable spatiotemporal actuation fields. SORI: a softness rendering interface SORI is a reconfigurable haptic display that decouples contact area and force on human fingertips, with model-based softness cue estimation to render a personalized experience with both virtual and real-world objects.",hwayeong.jeong@epfl.ch,+41 21 693 57 37,,,Zurich,
EPFL Xplore,,"EPFL Xplore is an association of more than 100 motivated students who take part in ambitious robotics and student space exploration projects. The team designs and builds planetary rovers from scratch while advancing technologies for autonomous exploration. It competes internationally at the European Rover Challenge in Poland, where its rover must autonomously navigate challenging Martian terrain, collect and analyze soil samples, and execute a scientific mission. Over the years, the team has received numerous excellency awards, including first place at ERC 2025. In parallel, EPFL Xplore organizes the Xplore Rover Challenge, a hands-on competition introducing students to planetary robotics. The association also conducts research projects in collaboration with academic laboratories and industry partners, developing innovative technologies in the field of space robotics.",contact@epfl-xplore.ch,,https://epflxplore.github.io,,Zurich,
ETH Zurich,,,hchoguzzi@ethz.ch,,,,Zurich,
ETH Zurich - D-ITET PBL,,,magnom@ethz.ch,,,,Zurich,
ETH Zurich - Mobile Robotics Lab,,"The Mobile Robotics Lab works towards the next generation of mobile robots that should support people in their lives: drones can inspect and monitor hazardous or remote sites, and humanoids or other ground-based robots can perform repetitive, strenuous, or dangerous tasks on construction sites or at home.We develop underlying Spatial AI capabilities as robots' understanding of the world. This is crucial for Navigation and Exploration of potentially cluttered, dynamic, and unknown environments.",idenitti@ethz.ch,17.05.2026,,,Zurich,
ETH Zurich / Robotic Systems Lab,,"The Robotic Systems Lab investigates the development of machines and their intelligence to operate in rough and challenging environments. With a large focus on robots with arms and legs, our research includes novel actuation methods for advanced dynamic interaction, innovative designs for increased system mobility and versatility, new control and learning algorithms for locomotion and manipulation, and robot perception for autonomous navigation. In search of clever solutions, we take inspiration from humans and animals with the goal of improving the skills and autonomy of complex robotic systems to make them applicable in various real-world scenarios.",mariat@ethz.ch,+41446320957,,,Zurich,
Euresearch,,,matthew.whellens@euresearch.ch,+41313806000,https://euresearch.ch,,Zurich,
Flexion,,"Flexion combines command, motion and control into one unified foundational model, trained in simulation, powered by reinforcement learning, deployable across all robot morphologies, from humanoids to wheeled platforms to robot arms, at scale.",info@flexion.ai,,https://flexion.ai,,Zurich,
Flink Robotics AG,,"Flink Robotics: superhuman physical work. We build a physics-based world model that lets machines reason and act autonomously, doing physical work beyond human limits. Flinkbot installs with no infrastructure changes and starts working within minutes, and live deployments across Europe have already proven our market fit.One team, spanning hardware, software and deployment, builds what traditional automation can't: a system for material handling, powered by a proprietary vision and motion stack that adapts to any item, regardless of shape, size or packaging.Swiss-engineered in Zurich, ready to deploy anywhere.",michael@flink.so,,https://flink.so,,Zurich,
fluidbot AG,,"fluidbot develops autonomous inspection robots for drinking water pipelines. Our system navigates inside complex pipe networks, collects visual and sensor data, and enables utilities to detect risks early. By combining robotics, sensor integration and data analytics, fluidbot supports predictive maintenance for critical water infrastructure. Meet fluidbot’s latest robotic inspection platform for drinking water pipelines. At our booth, we will showcase the robot, its mobility concept and integrated sensing technologies for collecting condition data directly from inside the pipe. Discover how robotics, ultrasound, vision and data analytics can help utilities better understand ageing underground infrastructure and move towards condition-based asset management.",elias.rozinek@fluidbot.ch,2023 - 2026,https://fluidbot.ch,,Zurich,
FRAMOS,,"FRAMOS is the leading camera module design and manufacturing expert. Founded in Munich, Germany over 40 years ago, FRAMOS has empowered companies worldwide to make drones fly safely, enable robots to see and think, make diagnostics faster and more affordable, boost athletic performance with AI, and countless other innovations. FRAMOS stands for best-in-class image quality, an open-source approach, and fast, easy integration – helping customers launch products quicker and stay ahead of the competition. With strong expertise in electronics design, optics and optical assembly, camera calibration, image tuning, and software integration, FRAMOS provides off-the-shelf camera modules and customized embedded vision solutions. At our technology campus strategically located in Europe, we combine R&D and manufacturing services under one roof and provide scalable manufacturing capacities up to millions of pieces.",marketing@framos.com,,https://framos.com,,Zurich,
Future Electronics Schweiz Gmbh,,,markus.jeck@futureelectronics.com,0462-201-16141,https://futureelectronics.com,,Zurich,
General Laser GmbH,,,i.tochev@general-laser.at,+4315247603,https://general-laser.at,,Zurich,
Generation Robots,,"For nearly 20 years, Generation Robots has been bridging the gap between innovative robotics technologies and real-world applications. What started as a robotics distributor has grown into a trusted technical partner for researchers, engineers and industrial companies. Alongside our portfolio of robots, sensors and AI solutions, our in-house engineering team, GR Lab, designs and develops custom robotic systems to meet the unique requirements of research and industrial projects.",vm@generationrobots.com,+33556393705,https://generationrobots.com,,Zurich,
Gravis Robotics,,,sbugal@gravisrobotics.com,,https://gravisrobotics.com,,Zurich,
Greater Zurich Area,,"The Greater Zurich Area is where world-class technology meets Swiss reliability. As the global leader in innovation and talent attraction, paired with Switzerland's business-friendly, stable, and reliable environment, the region offers international companies real added value and peace of mind for their strategic expansion in Europe.",mareen.wrobel@greaterzuricharea.com,41442545959,https://greaterzuricharea.com,,Zurich,
Harmattan AI,,,natasha.villaceran@harmattan.ai,,https://harmattan.ai,,Zurich,
HESAI,,,jelena.bagitsch@hesaitech.com,,https://hesaitech.com,,Zurich,
Inveel SA,,,barbara.horvath@inveel.com,,,,Zurich,
ITK Engineering GmbH,,,rechnungen2@psg-procurement.com,+49 (0)7272-7703-0,https://itk-engineering.de,,Zurich,
LOXO AG,,,lara@loxo.ch,0041763879678,https://loxo.ch,,Zurich,
maxon International AG,,,exhibitions@maxongroup.com,,https://maxongroup.com,,Zurich,
Noctua,,"NOCTUA is an ETH Zurich project developing long-endurance, near-silent fixed-wing UAVs powered by hydrogen fuel cells. With up to 10 hours of flight time, onboard AI and a modular payload architecture, NOCTUA enables persistent aerial monitoring for applications such as environmental observation, search and rescue, infrastructure inspection and security.",contact@noctua-robotics.com,,https://noctua.ethz.ch,,Zurich,
Open Autonomy,,,samet@openautonomy.ch,,https://openautonomy.com,,Zurich,
OR-X,,"The Operating Room X (OR-X) is an open-access center for surgical research and training, providing a highly realistic environment in which new technologies and procedures can be developed, tested, and validated under clinically relevant conditions. As a lighthouse for surgical innovation and part of the SERI Roadmap of Research Infrastructures, the OR-X helps bridge the gap between technological development and clinical application. Its 1,185 m² facility combines a fully equipped operating room with a dedicated skills lab, creating flexible and reproducible conditions for research across all surgical disciplines. This infrastructure allows technologies such as surgical robotics, navigation, imaging, AI, tracking, and data-driven solutions to be integrated directly into realistic surgical workflows and evaluated in a controlled setting. By bringing clinical expertise, engineering, and research together in one shared environment, the OR-X enables close collaboration between medical professionals, researchers, technology developers, and industry partners. In doing so, it supports the development and translation of new solutions that can help shape the future of surgery. Learn more by watching our video here . Compliant endoscope and cannula manipulator for uniportal surgery Uniportal endoscopic spine surgery is ergonomically demanding: the surgeon controls both endoscope and cannula through a single corridor with one hand, adjusting the view while actively manipulating tissue. Existing robotic systems are built for multiport soft-tissue procedures and do not address the constraints of uniportal interventions or active cannula manipulation. This work presents a robotic holder designed for uniportal interventions that can operate autonomously or in collaboration with surgeons or possibly external robotic systems (co-robotics). It addresses both the ergonomic limitations of hand-held instruments and the lack of cannula manipulation in existing robotic systems. Visuo-haptic Digital Twin Of Real Surgeries For Training In this project we create an immersive visuo-haptic environment for surgical training. The operating room and patient are dynamically reconstructed in 3D and presented in Virtual- or Augmented Reality, providing the trainee a learning environment from real data. The trainee can train the presented surgery step, while receiving haptic feedback, as well as qualitative and quantitative feedback on their performance. Watch the demo video here .",navin.joshi@balgrist.ch,+41443863260,,,Zurich,
OST Ostschweizer Fachhochschule,,"OST – Eastern Switzerland University of Applied Sciences combines practice-oriented education with applied research, development and knowledge transfer. In close collaboration with industry and research partners, OST develops practical solutions to real-world economic and societal challenges. OST ROBOTICS brings together interdisciplinary expertise and advanced infrastructure in robotics and AI. Focusing on autonomous systems, smart manufacturing, collaborative robotics and life sciences, it supports partners from initial consultation and project definition through implementation, validation and technology transfer to bring innovations into practice. Bachelor’s, Master’s and continuing education programmes prepare future engineers for careers in robotics and AI through hands-on projects and close industry engagement. Experience applied robotics and AI through a selection of demonstrators developed at OST. From intelligent perception and automation to collaborative and autonomous systems, the booth offers insights into advanced technologies and their practical applications. Meet our experts, exchange ideas and explore opportunities for collaboration, student projects and applied research.",agathe.koller@ost.ch,01.10.2026,https://ost.ch,,Zurich,
P8S,,"P8S is building the future of fulfillment and delivery with Physical AI–powered robotics. By uniting mobile robots, smart containers, and an intelligent software brain into one autonomous system, Pick8ship transforms how goods move — from storage to customer. Designed for universal use across food, fashion & beauty, health & care, electronics, and industrial supply, the system scales rapidly from compact installations to large industrial deployments — in days, not years. One system. One brain. Autonomous logistics at scale. www.p8s.swiss",j.haid@p8s.swiss,+41 44 821 22 08,https://p8s.swiss,,Zurich,
