company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
'DA GRASSO' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Hala B / E20,,,,,"POMORSKA 106, 91-402, ŁÓDŹ, Poland",ŁÓDŹ,
DATECS-POLSKA Sp. z o. o.,Hala B / F29,"DATECS jest wiodącym producentem w Europie i znaczącym na świecie rozwiązań ECR oraz POS. Naszym celem jest, zmienić przyszłość POS poprzez oferowanie najnowocześniejszych produktów stworzonych przez nasz doświadczony zespół ekspertów i produkowanych w jak najwyższej jakości, czego potwierdzeniem jest wprowadzony system zarządzania jakością ISO/IEC 9001:2008 oraz ISO/IEC 27001:2013. Z pasji do innowacji technologicznych i satysfakcji klientów zdobyliśmy serca wielu klientów na całym świecie.",,,https://datecs-polska.pl,"DRUKARSKA 1, 05-090, JAWOROWA, Poland",JAWOROWA,
Dotykačka,Hala B / D7,"Dotykačka jest dostawcą innowacyjnego systemu POS nowej generacji, cieszącego się zaufaniem tysięcy klientów – małych i średnich firm gastronomicznych, handlowych i usługowych. Użytkownicy systemu Dotykačka otrzymują kompletne rozwiązanie kasowe, zintegrowane z wiodącymi na rynku technologiami, takimi jak serwisy do obsługi zamówień z dostawą, rozwiązania w zakresie płatności bezgotówkowych czy platformy e-commerce. Grupa biznesowa Dotykačka obsługuje każdego dnia dziesiątki tysięcy komercyjnych użytkowników w Europie.",info@dotykacka.pl,+48 22 307 85 88,https://dotykacka.pl,"SIENNA 64, 00-825, WARSZAWA, Poland",WARSZAWA,
EDATA POLSKA Sp. z o.o.,Hala B / D4.16,"Firma EDATA POLSKA Sp. z o.o. (wcześniej jako Farimex Polska Sp. z o.o.) od kilkunastu już lat prowadzi sprzedaż i serwis kas oraz drukarek fiskalnych marek Telestar, Elemis i Farex.",,,https://edatapolska.pl,"PUŁAWSKA 481, 02-844, WARSZAWA, Poland",WARSZAWA,
Espiga,Hala D / D3.15,"Espiga to polska firma specjalizująca się w produkcji pieczywa rzemieślniczego oraz mąki specjalistycznej, oferując szeroki wybór chlebów, bułek i wypieków o tradycyjnym smaku i naturalnym składzie, często przygotowywanych z zakwasem i bez dodatku konserwantów. Jej oferta obejmuje produkty zarówno do codziennego spożycia, jak i do gastronomii, piekarni oraz klientów detalicznych, którzy cenią wysoką jakość pieczywa. Espiga stawia na starannie dobrane surowce, lokalne składniki i procesy wypieku inspirowane tradycją piekarską, co przekłada się na bogaty smak i aromat produktów. Firma promuje zdrowe i naturalne produkty zbożowe oraz wspiera rozwój kultury pieczenia chleba w Polsce.",,,https://espiga.pl,"LOTNICZA 51, 05-090, RASZYN, Poland",RASZYN,
GASTRODIGITAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Hala B / E17,,,,,"ALEJA BOHATERÓW WRZEŚNIA 18/42A, 02-389, WARSZAWA, Poland",WARSZAWA,
Grafen Europe sp. z o.o.,Hala B / D2,"Grafen Europe – Twój zaufany partner w profesjonalnej gastronomii Grafen Europe to marka, która od lat wspiera branżę gastronomiczną, dostarczając innowacyjne, funkcjonalne i niezawodne rozwiązania. Jej celem jest tworzenie przestrzeni kuchennych, które nie tylko inspirują, ale przede wszystkim wspierają codzienną pracę szefów kuchni i ich zespołów. Dzięki ich urządzeniom kreatywność spotyka się z najwyższą jakością i efektywnością.",,,https://grafen.com,"FIRMOWA 12, 62-023, ROBAKOWO, Poland",ROBAKOWO,
HOME BRANDS Sp. z o.o,Hala B / C2,"Home Brands Sp. z o.o. działa na polskim rynku od około roku 2015 i prowadzi sklep internetowy HB24.pl, który oferuje szeroki wybór wysokiej klasy artykułów kuchennych i domowych – od akcesoriów kuchennych, naczyń, narzędzi, po sprzęt wyposażenia wnętrz. Firma obsługuje zarówno klientów detalicznych, jak i segment B2B (hurt, wyposażenie gastronomii/HoReCa), zapewniając sprzedaż online, katalogi, promocje i logistykę.",,,,"JÓZEFA MEHOFFERA 86, 03-118, WARSZAWA, Poland",WARSZAWA,
IBICON,Hala B / C9,"IBICON – Twój zaufany partner w automatyzacji obrotu gotówkowego dla sektora HoReCa Od ponad 20 lat IBICON dostarcza na polski rynek zaawansowane, niezawodne i sprawdzone rozwiązania technologiczne do obsługi gotówki. Jako eksperti w optymalizacji procesów finansowych w handlu, usługach i hotelarstwie, wiemy, jak ważna jest płynność, bezpieczeństwo oraz precyzja w każdym punkcie styku z klientem. Podczas targów Hotel Equipment zapraszamy do zapoznania się z naszą kompleksową ofertą dedykowaną branży hotelarskiej i gastronomicznej. Oferujemy: Automaty płatnicze (recyklery gotówki): Nowoczesne urządzenia, które w pełni zamykają obieg gotówki w hotelu, restauracji czy strefie SPA. Gwarantują natychmiastowe wydawanie reszty, eliminują ryzyko pomyłek i mank kasowych oraz podnoszą standard higieny. Profesjonalne liczarki i sortery banknotów oraz bilonu: Sprzęt marek światowych oraz autoryzowane urządzenia marki SELECTIC, które błyskawicznie weryfikują autentyczność pieniędzy i usprawniają codzienne zamknięcia dnia. Akcesoria i systemy wspierające: Rozwiązania ułatwiające bezpieczne przechowywanie i pakowanie gotówki w obiekcie. Dlaczego warto nam zaufać? IBICON to nie tylko dystrybutor najwyższej klasy sprzętu. Naszą największą siłą jest doświadczony zespół ekspertów, który zapewnia pełne doradztwo, profesjonalny montaż, szkolenia oraz niezawodne wsparcie serwisowe. Wiemy, jak przeprowadzić wdrożenie w hotelu bez przestojów i zakłócania pracy personelu, który dzięki naszym rozwiązaniom może w 100% skupić się na tym, co w branży HoReCa najważniejsze – na komforcie i obsłudze gości. Odwiedź stoisko IBICON i sprawdź, jak możemy usprawnić zarządzanie gotówką w Twoim obiekcie!",handlowy@ibicon.pl,664 423 004,https://ibicon.pl,"AL. ALEJE JEROZOLIMSKIE 89/43, 02-001, WARSZAWA, Poland",WARSZAWA,
IRON STAR Sp. z o.o.,Hala A / E36,"Jesteśmy pasjonatami rzemiosła, dla których stal to nie tylko materiał, ale płótno do tworzenia trwałych i funkcjonalnych rozwiązań. W IRON STAR łączymy tradycję z innowacją, oferując Państwu zarówno mistrzowsko wykonane grill-wędzarnie, które staną się sercem każdego spotkania na świeżym powietrzu, jak i solidne konstrukcje stalowe, projektowane z myślą o najwyższej jakości i niezawodności.",,,https://ironstar.pl,"ROBOTNICZA 13, 55-040, KOBIERZYCE, Poland",KOBIERZYCE,
