exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,profile_url,facebook_url,instagram_url
1+3,unplustrois.fr,,,,France,Stand H71,"1+3 propose une gamme de soins minimalistes, vegan et efficaces, conçus autour des huiles végétales et des gels. Nos formules épurées, à base de plantes récoltées en France, privilégient la fraîcheur et la qualité des ingrédients. Le luxe, chez 1+3, réside dans l’essentiel : des produits sensoriels, transparents et hautement performants. Mieux, tout simplement.",,https://www.mifexpo.fr/exposants/un-plus-trois-750415/?fromsalon=952944,,
1083,1083.fr,,,,France,Stand G22-H25,"1083 : c’est le nombre de kilomètres qui séparent Menton et Porspoder, les deux villes françaises les plus éloignées de l'hexagone. Alors qu’un jeans traditionnel parcourt en moyenne 65 000 km, notre promesse est simple : des jeans filés + teints + tissés + confectionnés à moins de 1083 km de chez vous. Grâce à la relocalisation de toutes les étapes de fabrication dans l’efficacité, la transparence, le respect et l’enthousiasme, nos jeans sont les plus Made in France du monde ! Chez 1083 nous avons une démarche éthique globale (éco-conception, fabrication, distribution) pour construire un monde plus durable et transmettre nos idées à travers la mode. Notre mission ? Amener chacun à produire et consommer dans l’économie circulaire !",,https://www.mifexpo.fr/exposants/sas-lequipe-1083-1391/?fromsalon=952944,,
1336,1336.fr,,,,France,Stand G69,,,https://www.mifexpo.fr/exposants/scte-cooperative-ouvriere-provencale-de-thes-et-infusions-807160/?fromsalon=952944,,
19CENT16,maison-1916.com,,,,France,Stand F05,"19CENT16 est un atelier familial et artisanal, né au cœur du Pays d’Auge en Normandie. Chaque création parfumée est fabriquée à la main à partir de matières premières françaises, nobles et responsables : cire de colza certifiée Ecocert, fragrance de Grasse, verre trempé recyclable mais encore mèche en coton sans plomb. 19CENT16, c’est une élégance parfumée, engagée, enracinée dans l’authenticité et le savoir-faire. POP PARFUMÉ FRANCAIS !",,https://www.mifexpo.fr/exposants/sas-maison-normandie-264500/?fromsalon=952944,,
900.care,900.care,,,,France,Stand i70,"Un gel douche classique c'est 90% d'eau. De l'eau que vous avez chez vous et du plastique que vous allez jeter. Chez 900.care on a concentré tous les ingrédients actifs dans des petits bâtonnets à dissoudre. Vous mettez les bâtonnets dans votre contenant, vous ajoutez de l'eau. Ça vous fait du gel douche qui mousse !",,https://www.mifexpo.fr/exposants/900-sas-954383/?fromsalon=952944,,
A DEMAIN,a-demain.shop,,,,France,Stand H19,"Parce que la qualité doit être accessible. A Demain, c’est un linge de lit entièrement français. C’est un projet auquel notre entreprise a rêvé pendant 15 ans, un linge intemporel et français du tissage à la confection au prix le plus accessible pour tous. A Demain, c’est l’histoire de notre résistance malgré les crises et les fermetures d’usines. C’est le relancement d’une filière industrielle de linge de lit, ici en France. C’est la fierté de faire vivre notre territoire et ses savoir-faire. A Demain, c’est l’histoire de notre passion.",,https://www.mifexpo.fr/exposants/vanderschooten-1475/?fromsalon=952944,,
A L'USU MATTEI,alusumattei.com,,,,France,Stand Village de l'Artisanat - D21.68,,,https://www.mifexpo.fr/exposants/sas-a-lusu-mattei-984861/?fromsalon=952944,,
A SIGNORA,a-signora.com,,,,France,Stand Village de l'Artisanat - D21.64,"A SIGNORA est une marque de cosmétiques naturels artisanaux, née en Corse, qui célèbre la puissance des plantes à travers le soin du corps. La marque élabore des savons à froid surgras, huiles sèches multi-usage, macérât huileux et élixir visage, certifiés Cosmos ORAGNIC & NATURAL. Chaque création est unique, réalisée dans notre atelier et pensée comme un geste de soin essentiel, respectueux de la peau, du vivant et du territoire. A SIGNORA revendique une cosmétique sobre, sensorielle et authentique, où la plante est travaillée dans sa forme la plus juste : infusée, macérée, saponifiée. Ancrée dans la terre Corse, la marque propose une beauté vraie, consciente et intemporelle, loin du superflu. Retrouvez nos créations sur www.a-signora.com",,https://www.mifexpo.fr/exposants/sasu-a-signora-983744/?fromsalon=952944,,
A. JAMINET,ajaminet.fr,,,,France,Stand Village de l'Artisanat - D21.52,,,https://www.mifexpo.fr/exposants/aj-atelier-des-cuivres-986200/?fromsalon=952944,,
ABEILLE ASSURANCES,abeille-assurances.fr,,,,France,Stand E74-F75,"Compagnie majeure de l’assurance en France forte de ses 4 300 collaborateurs, 1 000 agents généraux d’assurance et de ses 170 ans d’expérience, Abeille Assurances dispose d’une gamme étendue de produits et services d’assurance, de protection, d’épargne et de retraite à destination de plus de 3 millions de clients. Abeille Assurances met son expertise et son influence d’assureur, d’investisseur et d’employeur au service de la création d’une société d’acteurs responsables.",,https://www.mifexpo.fr/exposants/abeille-assurances-405360/?fromsalon=952944,,
