company_name,domain,description,booth,email,city,full_address,mobile_primary
10Micron,10micron.eu,"10Micron represents excellence made in Italy, designing and manufacturing professional-quality astronomical telescope mounts with exceptional performance. Its exclusive, innovative and powerful systems serve advanced amateur astronomers, research and science, observatories, satellite tracking and space debris monitoring, combining precision mechanics, electronics and software with decades of experience.",G43,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
27G-Technology,27g.space,"27G solutions includes unique dosimetry and power management devices for satellites and space missions. The RadNano is currently the world’s smallest device for active radiation measurement, with TRL-9 space heritage on several satellites. It gives micro-satellite developers or operators access to information about the radiation environment of their application.",D40,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
2NDSpace SRL,2ndspace.eu,"2NDSPACE is an italian space engineering company developing customizable CubeSat platforms and subsystems. With flight-proven hardware and a customization-as-standard approach, 2ndspace delivers structures, power systems, avionics, solar panels and antennas, supporting fast, reliable and mission-focused small satellite development from 1U to 27U.",B40,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
3D PLUS,3d-plus.com,"3D Plus offers a full lineup of radiation tolerant products including memories, POL converters, interfaces, peripherals and protection ICs , and, industrial memories, Solid-State Drives, camera heads and more complex System-In-Package (SiP) solutions.",F11,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
3M Deutschland GmbH,3m.com,"3M is a global science & manufacturing company is built on more than 100 years of innovation. We have been contributing to Space mission success since the late 60’s, bringing the scale and capabilities of our Automotive, Commercial, and Industrial businesses to every program we launch.",1807,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
4iG Space and Defence Technologies,4igsdt.hu,"4iG Space and Defence Technologies is Hungary’s first privately-owned large enterprise making significant advancements in the space and defence sectors. Our core expertise is in vertical integration which includes satellite systems, ground segments, space mission operations, geodata processing, satellite communications, earth observation and the development of next-generation space technologies.",R21,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
5M s.r.o.,5m.cz,"5M company is production company focusing on development and production of composites, sandwich materials and adhesives, mainly in the field of space application, aircraft industry, ground vehicle transportation, electronic components, space subsystems. 5M is certified acc. to ISO 9001, AS/EN 9100 and IATF 16949.",R36,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
603 Optx,micro-lam.com,"Part of Micro-LAM, the 603OPTX team specializes in precision optical components made from metals, IR crystalline materials and polymer substrates. Capabilities to diamond turn more exotic materials and complex geometries are further expanded with the capability of laser-assisted machining. From blanking to coating, we provide turnkey optical components.",M52,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
A.C.M.H - ATELIERS DE CONSTRUCTION MECANIQUE DE HONFLEUR,acmh.fr,"ACMH designs and manufactures special containers, Mechanical Ground Support Equipment and mobility solutions. Our expertise consists in offering tailor-made solutions to transport and to store spacecrafts safely, according to IATA safety regulation, allowing the optimum air-transportation expenses and low Life Cycle Cost (Total Cost of Ownership).",U29,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
A.D.S. International,ads-int.com,"A.D.S. International specializes in advanced systems for Astronomy, Communications & Defense and SST, delivering tailored solutions across all product lines. The Astronomy division enhances telescopes with Deformable Mirrors and hexapods contributing to projects like GMT and E-ELT. Communications & Defense offers stabilized, high-performance antennas. SST develops systems for space safety.",P10,,Bremen,"Congress Bremen - Messe Bremen, Hallen 4, 5, 6, 7 & 4.1, Findorffstrasse 101, 28215 Bremen, Germany",
